insert into staff (first_name, age, salary) values ('Elvira', 11, 31);
insert into staff (first_name, age, salary) values ('Starr', 80, 34);
insert into staff (first_name, age, salary) values ('Pegeen', 70, 32);
insert into staff (first_name, age, salary) values ('Margy', 97, 44);
insert into staff (first_name, age, salary) values ('Diannne', 78, 29);
insert into staff (first_name, age, salary) values ('Ailee', 14, 26);
insert into staff (first_name, age, salary) values ('Star', 24, 33);
insert into staff (first_name, age, salary) values ('Shalom', 32, 22);
insert into staff (first_name, age, salary) values ('Skye', 2, 40);
insert into staff (first_name, age, salary) values ('Benoit', 63, 25);
insert into staff (first_name, age, salary) values ('Casey', 3, 22);
insert into staff (first_name, age, salary) values ('Carine', 1, 45);
insert into staff (first_name, age, salary) values ('Evaleen', 95, 41);
insert into staff (first_name, age, salary) values ('Janaya', 6, 30);
insert into staff (first_name, age, salary) values ('Gloriana', 31, 28);
insert into staff (first_name, age, salary) values ('Kiley', 89, 26);
insert into staff (first_name, age, salary) values ('Pammi', 22, 20);
insert into staff (first_name, age, salary) values ('Rivi', 36, 25);
insert into staff (first_name, age, salary) values ('Jo-anne', 81, 39);
insert into staff (first_name, age, salary) values ('Monique', 21, 40);
insert into staff (first_name, age, salary) values ('Claire', 99, 42);
insert into staff (first_name, age, salary) values ('Tatum', 43, 21);
insert into staff (first_name, age, salary) values ('Cosimo', 52, 33);
insert into staff (first_name, age, salary) values ('Jarred', 72, 39);
insert into staff (first_name, age, salary) values ('Linn', 22, 44);
insert into staff (first_name, age, salary) values ('Clayborn', 96, 33);
insert into staff (first_name, age, salary) values ('Sherrie', 94, 43);
insert into staff (first_name, age, salary) values ('Myrah', 91, 31);
insert into staff (first_name, age, salary) values ('Tamarah', 16, 29);
insert into staff (first_name, age, salary) values ('Betty', 2, 42);
insert into staff (first_name, age, salary) values ('Jere', 19, 41);
insert into staff (first_name, age, salary) values ('Miguel', 84, 27);
insert into staff (first_name, age, salary) values ('Ken', 53, 45);
insert into staff (first_name, age, salary) values ('Isahella', 30, 33);
insert into staff (first_name, age, salary) values ('Roxanne', 32, 31);
insert into staff (first_name, age, salary) values ('Laney', 6, 21);
insert into staff (first_name, age, salary) values ('Huntlee', 49, 35);
